Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,0,189,8,Some Random Commen with Id 0
1,1,9,149,6,Some Random Commen with Id 1
2,1,9,127,2,Some Random Commen with Id 2
3,1,9,106,9,Some Random Commen with Id 3
4,1,9,172,1,Some Random Commen with Id 4
5,1,9,181,4,Some Random Commen with Id 5
6,1,9,6,7,Some Random Commen with Id 6
7,1,9,157,9,Some Random Commen with Id 7
8,2,8,41,7,Some Random Commen with Id 8
9,2,8,184,6,Some Random Commen with Id 9
10,2,8,141,0,Some Random Commen with Id 10
11,2,8,22,3,Some Random Commen with Id 11
12,2,8,36,5,Some Random Commen with Id 12
13,2,8,60,7,Some Random Commen with Id 13
14,2,8,3,5,Some Random Commen with Id 14
15,2,8,67,3,Some Random Commen with Id 15
16,3,2,172,7,Some Random Commen with Id 16
17,3,2,57,5,Some Random Commen with Id 17
18,3,2,50,4,Some Random Commen with Id 18
19,3,2,61,1,Some Random Commen with Id 19
20,3,2,172,1,Some Random Commen with Id 20
21,3,2,149,1,Some Random Commen with Id 21
22,3,2,86,6,Some Random Commen with Id 22
23,4,3,132,2,Some Random Commen with Id 23
24,4,3,76,9,Some Random Commen with Id 24
25,4,3,43,6,Some Random Commen with Id 25
26,4,3,77,7,Some Random Commen with Id 26
27,6,7,28,1,Some Random Commen with Id 27
28,6,7,32,1,Some Random Commen with Id 28
29,6,7,3,6,Some Random Commen with Id 29
30,6,7,117,3,Some Random Commen with Id 30
31,6,7,170,5,Some Random Commen with Id 31
32,6,7,188,8,Some Random Commen with Id 32
33,7,8,118,1,Some Random Commen with Id 33
34,8,5,194,1,Some Random Commen with Id 34
35,8,5,52,7,Some Random Commen with Id 35
36,8,5,26,8,Some Random Commen with Id 36
37,9,8,23,9,Some Random Commen with Id 37
38,9,8,19,2,Some Random Commen with Id 38
39,9,8,186,2,Some Random Commen with Id 39
40,9,8,85,7,Some Random Commen with Id 40
41,9,8,57,7,Some Random Commen with Id 41
42,9,8,17,2,Some Random Commen with Id 42
43,10,0,150,3,Some Random Commen with Id 43
44,10,0,118,6,Some Random Commen with Id 44
